mach,alpha_deg,beta_deg,cd,cl,cy,cm,cn,cl_roll,qbar_pa
0.6,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,25533.899999999998
0.6,2.5,0.0,0.10875,0.16,0.0,0.04,0.0,0.0,25533.899999999998
0.6,5.0,0.0,0.1325,0.32,0.0,0.08,0.0,0.0,25533.899999999998
0.6,7.5,0.0,0.15625,0.4799999999999999,0.0,0.11999999999999998,0.0,0.0,25533.899999999998
0.6,10.0,0.0,0.18,0.6399999999999999,0.0,0.15999999999999998,0.0,0.0,25533.899999999998
0.6,12.5,0.0,0.24500000000000005,0.71,0.0,0.1825,0.0,0.0,25533.899999999987
0.6,15.0,0.0,0.30999999999999994,0.78,0.0,0.20500000000000002,0.0,0.0,25533.899999999998
0.6,17.5,0.0,0.375,0.8500000000000001,0.0,0.2275,0.0,0.0,25533.899999999998
0.6,20.0,0.0,0.4410352786395747,0.8755333333333334,0.0,0.25,0.0,0.0,25533.899999999998
0.6,22.5,0.0,0.44523245524706645,0.8199500000000002,0.0,0.25,0.0,0.0,25533.899999999998
0.6,25.0,0.0,0.4526243163327015,0.7643666666666666,0.0,0.25,0.0,0.0,25533.899999999998
0.8,-15.0,0.0,0.29333333333333333,-0.8266666666666665,0.0,-0.25,0.0,0.0,45393.60000000001
0.8,-12.5,0.0,0.25291666666666673,-0.6975000000000001,0.0,-0.2066666666666667,0.0,0.0,45393.60000000001
0.8,-10.0,0.0,0.21249999999999997,-0.5683333333333331,0.0,-0.1633333333333333,0.0,0.0,45393.60000000001
0.8,-7.5,0.0,0.1720833333333333,-0.4391666666666666,0.0,-0.12,0.0,0.0,45393.60000000001
0.8,-5.0,0.0,0.1316666666666667,-0.31000000000000005,0.0,-0.07666666666666667,0.0,0.0,45393.60000000001
0.8,-2.5,0.0,0.11666666666666668,-0.15500000000000003,0.0,-0.03833333333333334,0.0,0.0,45393.60000000001
0.8,0.0,0.0,0.10166666666666668,0.0,0.0,0.0,0.0,0.0,45393.60000000001
0.8,2.5,0.0,0.13125000000000003,0.17,0.0,0.043333333333333335,0.0,0.0,45393.60000000001
0.8,5.0,0.0,0.16083333333333333,0.34,0.0,0.08666666666666667,0.0,0.0,45393.60000000001
0.8,7.5,0.0,0.19041666666666668,0.5099999999999999,0.0,0.12999999999999998,0.0,0.0,45393.60000000001
0.8,10.0,0.0,0.22,0.6799999999999998,0.0,0.1733333333333333,0.0,0.0,45393.60000000001
0.8,12.5,0.0,0.2983333333333334,0.7466666666666668,0.0,0.19750000000000004,0.0,0.0,45393.60000000001
0.8,15.0,0.0,0.3766666666666667,0.8133333333333334,0.0,0.22166666666666668,0.0,0.0,45393.60000000001
0.8,17.5,0.0,0.4550000000000002,0.8800000000000001,0.0,0.2458333333333334,0.0,0.0,45393.60000000001
0.8,20.0,0.0,0.5343686119729081,0.9009111111111111,0.0,0.27,0.0,0.0,45393.60000000001
0.8,22.5,0.0,0.5385657885803999,0.8437166666666667,0.0,0.27,0.0,0.0,45393.60000000001
0.8,25.0,0.0,0.5459576496660349,0.7865222222222222,0.0,0.27,0.0,0.0,45393.60000000001
0.95,-15.0,0.0,0.30999999999999994,-0.8499999999999999,0.0,-0.25999999999999995,0.0,0.0,64012.06874999999
0.95,-12.5,0.0,0.26750000000000007,-0.7175000000000001,0.0,-0.21500000000000005,0.0,0.0,64012.06874999999
0.95,-10.0,0.0,0.225,-0.585,0.0,-0.17,0.0,0.0,64012.06874999999
0.95,-7.5,0.0,0.1825,-0.45249999999999996,0.0,-0.12499999999999999,0.0,0.0,64012.06874999997
0.95,-5.0,0.0,0.14,-0.31999999999999995,0.0,-0.07999999999999999,0.0,0.0,64012.068750000006
0.95,-2.5,0.0,0.125,-0.16,0.0,-0.04,0.0,0.0,64012.06874999999
0.95,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,64012.06874999999
0.95,2.5,0.0,0.14250000000000002,0.175,0.0,0.045,0.0,0.0,64012.06874999999
0.95,5.0,0.0,0.175,0.3499999999999999,0.0,0.08999999999999998,0.0,0.0,64012.068750000006
0.95,7.5,0.0,0.2075,0.5249999999999999,0.0,0.13499999999999998,0.0,0.0,64012.06874999997
0.95,10.0,0.0,0.24,0.7,0.0,0.18,0.0,0.0,64012.06874999999
0.95,12.5,0.0,0.325,0.7649999999999999,0.0,0.20500000000000002,0.0,0.0,64012.06874999999
0.95,15.0,0.0,0.4099999999999999,0.83,0.0,0.22999999999999998,0.0,0.0,64012.06874999999
0.95,17.5,0.0,0.49499999999999994,0.895,0.0,0.255,0.0,0.0,64012.068750000006
0.95,20.0,0.0,0.5810352786395746,0.9136,0.0,0.28,0.0,0.0,64012.06874999999
0.95,22.5,0.0,0.5852324552470665,0.8555999999999999,0.0,0.28,0.0,0.0,64012.06874999999
0.95,25.0,0.0,0.5926243163327015,0.7976,0.0,0.28,0.0,0.0,64012.06874999999
