altitude_m,density_kgpm3,pressure_pa,temperature_k,speed_of_sound_mps,gravity_mps2,wind_x_mps,wind_y_mps,wind_z_mps
10000.0,0.41270615318756876,26436.2425926916,223.14999999999998,299.4631648745802,9.775868442887434,10.282643909100477,4.130575636401909,-0.35867804544976134
10250.0,0.4000664756217987,25439.981954742398,221.52499999999998,298.37081264334483,9.775100761722598,10.657643909100477,4.130575636401909,-0.35867804544976134
10500.0,0.3877251003805648,24474.342863477894,219.89999999999998,297.2744465274471,9.77433317098112,11.032643909100477,4.130575636401909,-0.35867804544976134
10750.0,0.37567711392391223,23538.600014728283,218.27499999999998,296.1740219515378,9.773565670648797,11.407643909100477,4.130575636401909,-0.35867804544976134
11000.0,0.3639176481016034,22632.040095007793,216.64999999999998,295.0694935090715,9.772798260711433,11.782643909100477,4.130575636401909,-0.35867804544976134
11250.0,0.34985034225921435,21757.19428438418,216.64999999999998,295.0694935090715,9.772030941154835,12.157643909100477,4.130575636401909,-0.35867804544976134
11500.0,0.3363268107973633,20916.16580481657,216.64999999999998,295.0694935090715,9.77126371196481,12.532643909100477,4.130575636401909,-0.35867804544976134
11750.0,0.3233260340140376,20107.647440946716,216.64999999999998,295.0694935090715,9.770496573127168,12.907643909100477,4.130575636401909,-0.35867804544976134
12000.0,0.3108278047278,19330.382508074435,216.64999999999998,295.0694935090715,9.769729524627722,13.282643909100477,4.130575636401909,-0.35867804544976134
12250.0,0.29881269686965195,18583.162898885465,216.64999999999998,295.0694935090715,9.76896256645229,13.657643909100477,4.130575636401909,-0.35867804544976134
12500.0,0.28726203528898325,17864.82720568332,216.64999999999998,295.0694935090715,9.76819569858669,14.032643909100477,4.130575636401909,-0.35867804544976134
12750.0,0.2761578667266797,17174.258915206745,216.64999999999998,295.0694935090715,9.767428921016744,14.407643909100477,4.130575636401909,-0.35867804544976134
13000.0,0.2654829319102695,16510.384673226763,216.64999999999998,295.0694935090715,9.766662233728276,14.782643909100477,4.130575636401909,-0.35867804544976134
13250.0,0.2552206387277382,15872.172616226084,216.64999999999998,295.0694935090715,9.765895636707114,15.157643909100477,4.130575636401909,-0.35867804544976134
13500.0,0.24535503643831416,15258.630767567764,216.64999999999998,295.0694935090715,9.765129129939087,15.532643909100477,4.130575636401909,-0.35867804544976134
13750.0,0.23587079088014146,14668.80549566027,216.64999999999998,295.0694935090715,9.76436271341003,15.907643909100477,4.130575636401909,-0.35867804544976134
14000.0,0.22675316063630466,14101.780031722456,216.64999999999998,295.0694935090715,9.763596387105776,16.28264390910048,4.130575636401909,-0.35867804544976134
14250.0,0.21798797412216042,13556.673044844618,216.64999999999998,295.0694935090715,9.762830151012167,16.65764390910048,4.130575636401909,-0.35867804544976134
14500.0,0.20956160755836276,13032.637272130847,216.64999999999998,295.0694935090715,9.762064005115043,17.03264390910048,4.130575636401909,-0.35867804544976134
14750.0,0.20146096379534537,12528.858201793488,216.64999999999998,295.0694935090715,9.761297949400246,17.40764390910048,4.130575636401909,-0.35867804544976134
15000.0,0.19367345195634728,12044.552807152813,216.64999999999998,295.0694935090715,9.760531983853626,17.78264390910048,4.130575636401909,-0.35867804544976134
15250.0,0.18618696786734115,11578.968329574196,216.64999999999998,295.0694935090715,9.759766108461031,18.15764390910048,4.130575636401909,-0.35867804544976134
15500.0,0.17898987524344703,11131.38110845108,216.64999999999998,295.0694935090715,9.759000323208314,18.53264390910048,4.130575636401909,-0.35867804544976134
15750.0,0.17207098760258807,10701.095456415169,216.64999999999998,295.0694935090715,9.758234628081327,18.90764390910048,4.130575636401909,-0.35867804544976134
16000.0,0.16541955087827803,10287.442578025595,216.64999999999998,295.0694935090715,9.757469023065934,19.28264390910048,4.130575636401909,-0.35867804544976134
16250.0,0.1590252267045142,9889.779530256345,216.64999999999998,295.0694935090715,9.75670350814799,19.65764390910048,4.130575636401909,-0.35867804544976134
16500.0,0.1528780763467962,9507.48822316625,216.64999999999998,295.0694935090715,9.755938083313362,20.03264390910048,4.130575636401909,-0.35867804544976134
16750.0,0.1469685452542946,9139.97445919828,216.64999999999998,295.0694935090715,9.755172748547915,20.40764390910048,4.130575636401909,-0.35867804544976134
17000.0,0.14128744820915778,8786.667009614881,216.64999999999998,295.0694935090715,9.754407503837516,20.78264390910048,4.130575636401909,-0.35867804544976134
17250.0,0.13582595504987569,8447.016726633898,216.64999999999998,295.0694935090715,9.753642349168043,21.15764390910048,4.130575636401909,-0.35867804544976134
17500.0,0.1305755769465095,8120.49568988506,216.64999999999998,295.0694935090715,9.752877284525363,21.53264390910048,4.130575636401909,-0.35867804544976134
17750.0,0.12552815320645463,7806.596385860313,216.64999999999998,295.0694935090715,9.752112309895358,21.90764390910048,4.130575636401909,-0.35867804544976134
18000.0,0.1206758385902301,7504.830919082715,216.64999999999998,295.0694935090715,9.751347425263909,22.28264390910048,4.130575636401909,-0.35867804544976134
18250.0,0.11601109111757775,7214.730253767691,216.64999999999998,295.0694935090715,9.750582630616893,22.65764390910048,4.130575636401909,-0.35867804544976134
18500.0,0.11152666034491952,6935.843484798047,216.64999999999998,295.0694935090715,9.749817925940203,23.03264390910048,4.130575636401909,-0.35867804544976134
18750.0,0.10721557609595175,6667.73713687959,216.64999999999998,295.0694935090715,9.749053311219724,23.40764390910048,4.130575636401909,-0.35867804544976134
19000.0,0.1030711376278602,6409.994490787985,216.64999999999998,295.0694935090715,9.748288786441345,23.78264390910048,4.130575636401909,-0.35867804544976134
19250.0,0.09908690321631755,6162.214935659711,216.64999999999998,295.0694935090715,9.747524351590963,24.15764390910048,4.130575636401909,-0.35867804544976134
19500.0,0.09525668014307435,5924.0133463202965,216.64999999999998,295.0694935090715,9.746760006654474,24.53264390910048,4.130575636401909,-0.35867804544976134
19750.0,0.09157451507058209,5695.019484682084,216.64999999999998,295.0694935090715,9.74599575161778,24.90764390910048,4.130575636401909,-0.35867804544976134
20000.0,0.08803468478868634,5474.877424281044,216.64999999999998,295.0694935090715,9.745231586466776,25.28264390910048,4.130575636401909,-0.35867804544976134
20250.0,0.08463168731900876,5263.24499705825,216.64999999999998,295.0694935090715,9.744467511187374,25.65764390910048,4.130575636401909,-0.35867804544976134
20500.0,0.08136023336319087,5059.79326152612,216.64999999999998,295.0694935090715,9.74370352576548,26.03264390910048,4.130575636401909,-0.35867804544976134
20750.0,0.07821523808170727,4864.205991492778,216.64999999999998,295.0694935090715,9.742939630187003,26.40764390910048,4.130575636401909,-0.35867804544976134
21000.0,0.0751918131904707,4676.179184549888,216.64999999999998,295.0694935090715,9.742175824437858,26.78264390910048,4.130575636401909,-0.35867804544976134
21250.0,0.07228525936294428,4495.420589559983,216.64999999999998,295.0694935090715,9.741412108503962,27.15764390910048,4.130575636401909,-0.35867804544976134
21500.0,0.0694910589259513,4321.6492524088435,216.64999999999998,295.0694935090715,9.740648482371228,27.53264390910048,4.130575636401909,-0.35867804544976134
21750.0,0.06680486883783031,4154.595079316931,216.64999999999998,295.0694935090715,9.739884946025585,27.90764390910048,4.130575636401909,-0.35867804544976134
22000.0,0.06422251393802045,3993.998417031075,216.64999999999998,295.0694935090715,9.739121499452953,28.28264390910048,4.130575636401909,-0.35867804544976134
22250.0,0.061739980457585907,3839.6096492439533,216.64999999999998,295.0694935090715,9.73835814263926,28.65764390910048,4.130575636401909,-0.35867804544976134
22500.0,0.0593534097805917,3691.1888086140348,216.64999999999998,295.0694935090715,9.737594875570435,29.03264390910048,4.130575636401909,-0.35867804544976134
22750.0,0.057059092446635096,3548.505203782977,216.64999999999998,295.0694935090715,9.736831698232415,29.40764390910048,4.130575636401909,-0.35867804544976134
23000.0,0.05485346238521013,3411.3370608107307,216.64999999999998,295.0694935090715,9.73606861061113,29.78264390910048,4.130575636401909,-0.35867804544976134
23250.0,0.052733091372943915,3279.471178471045,216.64999999999998,295.0694935090715,9.73530561269252,30.15764390910048,4.130575636401909,-0.35867804544976134
23500.0,0.05069468370508951,3152.7025968715834,216.64999999999998,295.0694935090715,9.734542704462523,30.53264390910048,4.130575636401909,-0.35867804544976134
23750.0,0.048735071072993234,3030.8342788835957,216.64999999999998,295.0694935090715,9.73377988590709,30.90764390910048,4.130575636401909,-0.35867804544976134
24000.0,0.04685120763957449,2913.6768038859873,216.64999999999998,295.0694935090715,9.733017157012164,31.28264390910048,4.130575636401909,-0.35867804544976134
24250.0,0.045040165305163825,2801.048073347766,216.64999999999998,295.0694935090715,9.73225451776369,31.65764390910048,4.130575636401909,-0.35867804544976134
24500.0,0.04329912915634091,2692.7730277912588,216.64999999999998,295.0694935090715,9.731491968147624,32.03264390910048,4.130575636401909,-0.35867804544976134
24750.0,0.041625393090698674,2588.6833746961725,216.64999999999998,295.0694935090715,9.730729508149922,32.40764390910048,4.130575636401909,-0.35867804544976134
25000.0,0.040016355610732766,2488.6173269215624,216.64999999999998,295.0694935090715,9.729967137756537,32.78264390910048,4.130575636401909,-0.35867804544976134
