time_s,sensor_time_s,imu_valid,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,gyro_p_rps,gyro_q_rps,gyro_r_rps,imu_accel_norm_mps2,imu_gyro_norm_rps,gps_valid,gps_latency_s,gps_x_m,gps_y_m,gps_z_m,gps_vx_mps,gps_vy_mps,gps_vz_mps,baro_valid,baro_alt_m,baro_bias_m,pitot_valid,pitot_airspeed_mps,pitot_qbar_pa,pitot_compressibility_factor,mag_valid,mag_heading_deg,mag_x_ut,mag_y_ut,mag_z_ut,radar_valid,optical_flow_valid,horizon_valid,horizon_roll_deg,horizon_pitch_deg
12.68,12.68,1.0,16.52621955527079,-0.018352817238706767,37.517602275170184,-0.0032886650437854497,-0.001980202520058541,-0.0005834151743939198,40.99617970119618,0.0038828975078381398,1.0,0.0,4054.386723346689,3.213251220133307,14487.879331675218,455.3379078601616,0.11031218361207097,23.778581537604378,1.0,14490.462986993221,0.0,1.0,456.53456010752603,21759.63325272575,1.0,1.0,0.41835963902134654,17.553457171272782,0.024661978811974482,-44.70524082269423,0.0,0.0,1.0,0.10370158222158272,7.999875548560614
12.72,12.72,1.0,17.41387420333073,-0.008687493425769185,29.176425548007508,0.0015781936794213502,0.7701795982035844,-2.9795112306704635e-05,33.978035522972704,0.7701812157356691,1.0,0.0,4054.386723346689,3.213251220133307,14487.879331675218,455.3379078601616,0.11031218361207097,23.778581537604378,1.0,14490.963485106517,0.0,1.0,458.1787002508617,21986.231863244015,1.0,1.0,-0.2489836867436455,17.591379665834168,0.03768467484822235,-44.67271922860159,0.0,0.0,1.0,0.6744357902704059,8.64183921030569
12.76,12.76,1.0,19.8730987694887,-0.008893825943970857,11.652655501792255,0.0026887964810422796,1.534747636231165,0.005678286407631423,23.03745893204028,1.5347604958038865,1.0,0.0,4054.386723346689,3.213251220133307,14487.879331675218,455.3379078601616,0.11031218361207097,23.778581537604378,1.0,14491.921627102223,0.0,1.0,458.21814001604855,21632.92635145862,1.0,1.0,-0.2489836867436455,17.591379665834168,0.03768467484822235,-44.67271922860159,0.0,0.0,1.0,0.6744357902704059,8.64183921030569
12.8,12.8,1.0,22.31902893437625,0.01933098435100861,-5.298566865381273,-0.002725345537065275,0.7737524648073978,-0.0030083344037309264,22.93935999733638,0.7737631125736768,1.0,0.0,4137.916659261623,-1.2967944698935165,14489.744854242774,458.0953725842009,-0.08370801610532248,27.077526871655635,1.0,14501.980766292407,0.0,1.0,459.1732660707404,21922.076275020856,1.0,1.0,1.2270785714349146,21.501738858861113,0.004881049931681633,-42.925814118841274,0.0,0.0,1.0,0.2275959875613936,3.198195071310869
12.84,12.84,1.0,21.828817000035187,0.0963028288699326,-11.240676922064399,-0.0005011534786251904,0.004679725896874175,-0.0021521457877408056,24.553194161292023,0.005175202485961629,1.0,0.0,4137.916659261623,-1.2967944698935165,14489.744854242774,458.0953725842009,-0.08370801610532248,27.077526871655635,1.0,14497.099993050399,0.0,1.0,458.69900689023194,22226.38482740357,1.0,1.0,1.2270785714349146,21.501738858861113,0.004881049931681633,-42.925814118841274,0.0,0.0,1.0,0.2275959875613936,3.198195071310869
12.88,12.88,1.0,22.193018328294134,-0.01868340984086029,-3.6009870966184,-0.0006223281150546081,-0.7603772861543953,0.0014321692221266793,22.483271996304605,0.7603788895678829,1.0,0.0,4137.916659261623,-1.2967944698935165,14489.744854242774,458.0953725842009,-0.08370801610532248,27.077526871655635,1.0,14495.49412857736,0.0,1.0,459.8294783387629,22363.77528475384,1.0,1.0,0.5418100856221083,21.522551025169513,0.024642467912878902,-42.92105817803507,0.0,0.0,1.0,-0.1808749849904077,4.149542848965062
12.92,12.92,1.0,19.45442156256085,0.020546849334509627,13.790679816965616,0.002447721940259414,-1.5291875586148234,0.0006629213071391106,23.846546716892007,1.529189661300952,1.0,0.0,4137.916659261623,-1.2967944698935165,14489.744854242774,458.0953725842009,-0.08370801610532248,27.077526871655635,1.0,14499.505541742992,0.0,1.0,461.7966869874506,22085.739476414725,1.0,1.0,0.5418100856221083,21.522551025169513,0.024642467912878902,-42.92105817803507,0.0,0.0,1.0,-0.1808749849904077,4.149542848965062
12.96,12.96,1.0,17.020821136258956,0.03172185753652941,30.99365188316131,0.0024955597008793585,-0.7606065304155119,0.0012286831268773512,35.35980508265499,0.760611616786892,1.0,0.0,4137.916659261623,-1.2967944698935165,14489.744854242774,458.0953725842009,-0.08370801610532248,27.077526871655635,1.0,14496.050730845747,0.0,1.0,462.06316317129046,22464.035541047393,1.0,1.0,0.9539601081740502,17.574245566723025,-0.052902660560204304,-44.720446309084,0.0,0.0,1.0,-0.21496963716336853,8.542812837102812
13.0,13.0,1.0,16.323132288373266,0.02873589645804992,37.36001240908214,0.0004115775416714741,0.006528404113401751,-0.0012271848697754338,40.770283303679044,0.006655481879270274,1.0,0.0,4228.166989506623,-0.3348618851476888,14499.739775625565,461.8767265355671,-0.08088906111000271,26.93823415182965,1.0,14498.359420630575,0.0,1.0,463.216413503262,22522.572986015726,1.0,1.0,0.9539601081740502,17.574245566723025,-0.052902660560204304,-44.720446309084,0.0,0.0,1.0,-0.21496963716336853,8.542812837102812
13.040000000000001,13.040000000000001,1.0,17.232042042068834,-0.021935860098120666,28.656581471943674,0.0004547514674128985,0.7742084457944168,0.0006090411645154145,33.43865152454165,0.774208818904463,1.0,0.0,4228.166989506623,-0.3348618851476888,14499.739775625565,461.8767265355671,-0.08088906111000271,26.93823415182965,1.0,14490.934317801628,0.0,1.0,463.168049294508,22638.264604032418,1.0,1.0,-1.496200883780674,17.63225867268424,-0.047831033267539694,-44.64923246916295,0.0,0.0,1.0,0.16154374112002073,8.287328654104687
13.08,13.08,1.0,19.820439996565987,0.0975144339600234,10.572474488955002,0.0028107901657470646,1.5416305343405365,-0.001482849231491763,22.464117332802275,1.5416338098894586,1.0,0.0,4228.166989506623,-0.3348618851476888,14499.739775625565,461.8767265355671,-0.08088906111000271,26.93823415182965,1.0,14496.630744012686,0.0,1.0,463.6278823241512,22948.87218517372,1.0,1.0,-1.496200883780674,17.63225867268424,-0.047831033267539694,-44.64923246916295,0.0,0.0,1.0,0.16154374112002073,8.287328654104687
13.120000000000001,13.120000000000001,1.0,21.852063465578667,-0.005308094845885951,-6.664741347827945,0.0013467866354518983,0.7744212219178751,-0.0019056062158248545,22.845819817047413,0.7744247375478562,1.0,0.0,4228.166989506623,-0.3348618851476888,14499.739775625565,461.8767265355671,-0.08088906111000271,26.93823415182965,1.0,14504.752760015948,0.0,1.0,464.7918682791548,22898.292765414648,1.0,1.0,-1.0400644478733545,21.617873672161206,-0.06918828246372455,-42.85551263050593,0.0,0.0,1.0,-0.003330383901154063,3.6683905905892638
13.16,13.16,1.0,21.414674877854694,-0.005018041363579594,-12.854188155062019,0.002426805911534514,0.006301824482731836,-0.00036801213563826497,24.976358390099563,0.006762973582337453,1.0,0.0,4228.166989506623,-0.3348618851476888,14499.739775625565,461.8767265355671,-0.08088906111000271,26.93823415182965,1.0,14503.558372984655,0.0,1.0,465.31908509595803,22714.544815428086,1.0,1.0,-1.0400644478733545,21.617873672161206,-0.06918828246372455,-42.85551263050593,0.0,0.0,1.0,-0.003330383901154063,3.6683905905892638
